id,dealer_code,dealer_name,store_numbers,working_hours
22,3386,Siddhi Vinayak Automobiles - Sales,"[""+918294005555"",""+919608603110"",""+919369569799"",""+919031084581"",""+916205207394""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""1900""}],""tue"":[{""working_from"":""1000"",""working_to"":""1900""}],""wed"":[{""working_from"":""1000"",""working_to"":""1900""}],""thu"":[{""working_from"":""1000"",""working_to"":""1900""}],""fri"":[{""working_from"":""1000"",""working_to"":""1900""}],""sat"":[{""working_from"":""1000"",""working_to"":""1900""}]}"
23,5763,SHAH DISTRIBUTORS (AUTO DIVISION),"[""+919163797451"",""+917980212030"",""+918910591169"",""+917003879264"",""+919830276675""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
24,5198,Ishna Wheels,"[""+919819549111"",""+919819542111"",""+919833568269"",""+918291098089"",""+919769060970"",""+917977808419"",""+918879330224""]","{""sun"":[{""working_from"":""1100"",""working_to"":""1800""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
25,6634,S.V. Motors- Sales,"[""+918106713349"",""+918886680882""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
26,11790,Jaipur Bike Company,"[""+918306366693"",""+917300071851""]","{""sun"":[{""working_from"":""0930"",""working_to"":""1900""}],""mon"":[{""working_from"":""0930"",""working_to"":""1900""}],""tue"":[{""working_from"":""0930"",""working_to"":""1900""}],""wed"":[{""working_from"":""0930"",""working_to"":""1900""}],""thu"":[{""working_from"":""0930"",""working_to"":""1900""}],""fri"":[{""working_from"":""0930"",""working_to"":""1900""}],""sat"":[{""working_from"":""0930"",""working_to"":""1900""}]}"
27,265,Ostwal Auto Sales,"[""+919767636997"",""+919422255773"",""+919423086333"",""+919766772198"",""+919022743737"",""+918805604949"",""+919822762208"",""+917447744004"",""+919404515420"",""+917447744002"",""+919225798718"",""+917447744003"",""+919322904899"",""+917841877512"",""+917447744001""]","{""mon"":[{""working_from"":""0930"",""working_to"":""1930""}],""tue"":[{""working_from"":""0930"",""working_to"":""1930""}],""wed"":[{""working_from"":""0930"",""working_to"":""1930""}],""thu"":[{""working_from"":""0930"",""working_to"":""1930""}],""fri"":[{""working_from"":""0930"",""working_to"":""1930""}],""sat"":[{""working_from"":""0930"",""working_to"":""1930""}]}"
28,5808,AGRA ROYALS-SALES,"[""+917055312112"",""+917456002597"",""+918057111146"",""+917055312106"",""+917300501304"",""+917055312115""]","{""sun"":[{""working_from"":""1000"",""working_to"":""2000""}],""mon"":[{""working_from"":""1000"",""working_to"":""2000""}],""tue"":[{""working_from"":""1000"",""working_to"":""2000""}],""wed"":[{""working_from"":""1000"",""working_to"":""2000""}],""thu"":[{""working_from"":""1000"",""working_to"":""2000""}],""fri"":[{""working_from"":""1000"",""working_to"":""2000""}],""sat"":[{""working_from"":""1000"",""working_to"":""2000""}]}"
29,4356,SHRI MUNISHWAR MOTORS PVT LTD SALES,"[""+919036882773"",""+918105282000"",""+919845023535"",""+919036082772"",""+919964322773""]","{""sun"":[{""working_from"":""1000"",""working_to"":""1900""}],""mon"":[{""working_from"":""1000"",""working_to"":""1900""}],""tue"":[{""working_from"":""1000"",""working_to"":""1900""}],""wed"":[{""working_from"":""1000"",""working_to"":""1900""}],""thu"":[{""working_from"":""1000"",""working_to"":""1900""}],""fri"":[{""working_from"":""1000"",""working_to"":""1900""}],""sat"":[{""working_from"":""1000"",""working_to"":""1900""}]}"
30,12796,Allied Auto Agencies,"[""+918273689543"",""+919690777771"",""+917088888078"",""+917088909333"",""+917252000488"",""+917252000560"",""+919568223402"",""+917252000490""]","{""sun"":[{""working_from"":""0900"",""working_to"":""2100""}],""mon"":[{""working_from"":""0900"",""working_to"":""2100""}],""tue"":[{""working_from"":""0900"",""working_to"":""2100""}],""wed"":[{""working_from"":""0900"",""working_to"":""2100""}],""thu"":[{""working_from"":""0900"",""working_to"":""2100""}],""fri"":[{""working_from"":""0900"",""working_to"":""2100""}],""sat"":[{""working_from"":""0900"",""working_to"":""2100""}]}"
31,6344,Ved Motors - Sales,"[""+917038360550"",""+918446988097"",""+917030907022"",""+917030907015"",""+917030907018"",""+917030907029""]","{""mon"":[{""working_from"":""1000"",""working_to"":""1930""}],""tue"":[{""working_from"":""1000"",""working_to"":""1930""}],""wed"":[{""working_from"":""1000"",""working_to"":""1930""}],""thu"":[{""working_from"":""1000"",""working_to"":""1930""}],""fri"":[{""working_from"":""1000"",""working_to"":""1930""}],""sat"":[{""working_from"":""1000"",""working_to"":""1930""}]}"
